X,Y
4.8e-05,2.1e-05
4.8e-05,2.4e-05
4.8e-05,2.7e-05
4.8e-05,3e-05
4.8e-05,3.3e-05
4.8e-05,3.6e-05
4.8e-05,3.9e-05
4.8e-05,4.2e-05
4.8e-05,4.5e-05
4.8e-05,4.8e-05
4.8e-05,5.1e-05
4.8e-05,5.4e-05
4.8e-05,5.7e-05
4.8e-05,6e-05
4.8e-05,6.3e-05
4.8e-05,6.6e-05
4.8e-05,6.9e-05
4.8e-05,7.2e-05
4.8e-05,7.5e-05
4.8e-05,7.8e-05
4.8e-05,8.1e-05
4.8e-05,8.4e-05
4.8e-05,8.7e-05
4.8e-05,9e-05
4.8e-05,9.3e-05
4.8e-05,9.6e-05
4.8e-05,9.9e-05
4.8e-05,0.000102
4.8e-05,0.000105
4.8e-05,0.000108
4.8e-05,0.000111
4.8e-05,0.000114
4.8e-05,0.000117
4.8e-05,0.00012
4.8e-05,0.000123
4.8e-05,0.000126
4.8e-05,0.000129
4.8e-05,0.000132
4.8e-05,0.000135
4.8e-05,0.000138
4.8e-05,0.000141
4.8e-05,0.000144
4.8e-05,0.000147
4.8e-05,0.00015
5.1e-05,3e-06
5.1e-05,6e-06
5.1e-05,9e-06
5.1e-05,1.2e-05
5.1e-05,1.5e-05
5.1e-05,1.8e-05
5.1e-05,2.1e-05
5.1e-05,2.4e-05
5.1e-05,2.7e-05
5.1e-05,3e-05
5.1e-05,3.3e-05
5.1e-05,3.6e-05
5.1e-05,3.9e-05
5.1e-05,4.2e-05
5.1e-05,4.5e-05
5.1e-05,4.8e-05
5.1e-05,5.1e-05
5.1e-05,5.4e-05
5.1e-05,5.7e-05
5.1e-05,6e-05
5.1e-05,6.3e-05
5.1e-05,6.6e-05
5.1e-05,6.9e-05
5.1e-05,7.2e-05
5.1e-05,7.5e-05
5.1e-05,7.8e-05
5.1e-05,8.1e-05
5.1e-05,8.4e-05
5.1e-05,8.7e-05
5.1e-05,9e-05
5.1e-05,9.3e-05
5.1e-05,9.6e-05
5.1e-05,9.9e-05
5.1e-05,0.000102
5.1e-05,0.000105
5.1e-05,0.000108
5.1e-05,0.000111
5.1e-05,0.000114
5.1e-05,0.000117
5.1e-05,0.00012
5.1e-05,0.000123
5.1e-05,0.000126
5.1e-05,0.000129
5.1e-05,0.000132
5.1e-05,0.000135
5.1e-05,0.000138
5.1e-05,0.000141
5.1e-05,0.000144
5.1e-05,0.000147
5.1e-05,0.00015
5.4e-05,3e-06
5.4e-05,6e-06
5.4e-05,9e-06
5.4e-05,1.2e-05
5.4e-05,1.5e-05
5.4e-05,1.8e-05
5.4e-05,2.1e-05
5.4e-05,2.4e-05
5.4e-05,2.7e-05
5.4e-05,3e-05
5.4e-05,3.3e-05
5.4e-05,3.6e-05
5.4e-05,3.9e-05
5.4e-05,4.2e-05
5.4e-05,4.5e-05
5.4e-05,4.8e-05
5.4e-05,5.1e-05
5.4e-05,5.4e-05
5.4e-05,5.7e-05
5.4e-05,6e-05
5.4e-05,6.3e-05
5.4e-05,6.6e-05
5.4e-05,6.9e-05
5.4e-05,7.2e-05
5.4e-05,7.5e-05
5.4e-05,7.8e-05
5.4e-05,8.1e-05
5.4e-05,8.4e-05
5.4e-05,8.7e-05
5.4e-05,9e-05
5.4e-05,9.3e-05
5.4e-05,9.6e-05
5.4e-05,9.9e-05
5.4e-05,0.000102
5.4e-05,0.000105
5.4e-05,0.000108
5.4e-05,0.000111
5.4e-05,0.000114
5.4e-05,0.000117
5.4e-05,0.00012
5.4e-05,0.000123
5.4e-05,0.000126
5.4e-05,0.000129
5.4e-05,0.000132
5.4e-05,0.000135
5.4e-05,0.000138
5.4e-05,0.000141
5.4e-05,0.000144
5.4e-05,0.000147
5.4e-05,0.00015
5.7e-05,3e-06
5.7e-05,6e-06
5.7e-05,9e-06
5.7e-05,1.2e-05
5.7e-05,1.5e-05
5.7e-05,1.8e-05
5.7e-05,2.1e-05
5.7e-05,2.4e-05
5.7e-05,2.7e-05
5.7e-05,3e-05
5.7e-05,3.3e-05
5.7e-05,3.6e-05
5.7e-05,3.9e-05
5.7e-05,4.2e-05
5.7e-05,4.5e-05
5.7e-05,4.8e-05
5.7e-05,5.1e-05
5.7e-05,5.4e-05
5.7e-05,5.7e-05
5.7e-05,6e-05
5.7e-05,6.3e-05
5.7e-05,6.6e-05
5.7e-05,6.9e-05
5.7e-05,7.2e-05
5.7e-05,7.5e-05
5.7e-05,7.8e-05
5.7e-05,8.1e-05
5.7e-05,8.4e-05
5.7e-05,8.7e-05
5.7e-05,9e-05
5.7e-05,9.3e-05
5.7e-05,9.6e-05
5.7e-05,9.9e-05
5.7e-05,0.000102
5.7e-05,0.000105
5.7e-05,0.000108
5.7e-05,0.000111
5.7e-05,0.000114
5.7e-05,0.000117
5.7e-05,0.00012
5.7e-05,0.000123
5.7e-05,0.000126
5.7e-05,0.000129
5.7e-05,0.000132
5.7e-05,0.000135
5.7e-05,0.000138
5.7e-05,0.000141
5.7e-05,0.000144
5.7e-05,0.000147
5.7e-05,0.00015
6e-05,3e-06
6e-05,6e-06
6e-05,9e-06
6e-05,1.2e-05
6e-05,1.5e-05
6e-05,1.8e-05
6e-05,2.1e-05
6e-05,2.4e-05
6e-05,2.7e-05
6e-05,3e-05
6e-05,3.3e-05
6e-05,3.6e-05
6e-05,3.9e-05
6e-05,4.2e-05
6e-05,4.5e-05
6e-05,4.8e-05
6e-05,5.1e-05
6e-05,5.4e-05
6e-05,5.7e-05
6e-05,6e-05
6e-05,6.3e-05
6e-05,6.6e-05
6e-05,6.9e-05
6e-05,7.2e-05
6e-05,7.5e-05
6e-05,7.8e-05
6e-05,8.1e-05
6e-05,8.4e-05
6e-05,8.7e-05
6e-05,9e-05
6e-05,9.3e-05
6e-05,9.6e-05
6e-05,9.9e-05
6e-05,0.000102
6e-05,0.000105
6e-05,0.000108
6e-05,0.000111
6e-05,0.000114
6e-05,0.000117
6e-05,0.00012
6e-05,0.000123
6e-05,0.000126
6e-05,0.000129
6e-05,0.000132
6e-05,0.000135
6e-05,0.000138
6e-05,0.000141
6e-05,0.000144
6e-05,0.000147
6e-05,0.00015
6.3e-05,3e-06
6.3e-05,6e-06
6.3e-05,9e-06
6.3e-05,1.2e-05
6.3e-05,1.5e-05
6.3e-05,1.8e-05
6.3e-05,2.1e-05
6.3e-05,2.4e-05
6.3e-05,2.7e-05
6.3e-05,3e-05
6.3e-05,3.3e-05
6.3e-05,3.6e-05
6.3e-05,3.9e-05
6.3e-05,4.2e-05
6.3e-05,4.5e-05
6.3e-05,4.8e-05
6.3e-05,5.1e-05
6.3e-05,5.4e-05
6.3e-05,5.7e-05
6.3e-05,6e-05
6.3e-05,6.3e-05
6.3e-05,6.6e-05
6.3e-05,6.9e-05
6.3e-05,7.2e-05
6.3e-05,7.5e-05
6.3e-05,7.8e-05
6.3e-05,8.1e-05
6.3e-05,8.4e-05
